,Lazada,Shopee
,3.19047619,3.095238095
,3.031746032,2.994708995
,3.227513228,3.100529101
,3.277777778,3.134920635
,2.706349206,2.944444444
,3.169312169,3.095238095
,2.53968254,2.666666667
,3.047619048,3.031746032
,3.111111111,3.111111111
,2.857142857,2.920634921
,2.76984127,2.928571429
,3.111111111,2.943548387
